thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(-0.976697, -0.177982, -0.119942)","(-0.940865, -0.277351, -0.194548)","(-0.938216, -0.283164, -0.198919)","(-0.936763, -0.108008, 0.332879)","(-0.849092, -0.162993, 0.50247)","(-0.873574, -0.111083, 0.473844)","(-0.891406, -0.0670125, 0.448224)","(-0.898403, -0.0289168, 0.43822)","(-0.71465, -0.137997, 0.685734)","(-0.726757, -0.122586, 0.675868)","(-0.772489, -0.0591398, 0.632269)","(-0.83757, 0.061354, 0.542874)","(-0.837265, 0.145666, 0.527037)","(-0.854454, 0.183015, 0.486225)","(-0.86592, 0.211856, 0.4531)","(-0.751923, 0.11214, 0.649643)","(-0.418493, -0.0289498, 0.907758)","(-0.857907, 0.483148, 0.174825)","(-0.510662, 0.537091, -0.671385)",pinch
"(0, 0, 0)","(-0.976811, -0.157252, -0.145301)","(-0.941093, -0.254941, -0.222146)","(-0.938451, -0.260664, -0.226637)","(-0.945234, -0.101639, 0.310164)","(-0.862518, -0.16287, 0.479099)","(-0.88575, -0.109012, 0.451179)","(-0.902411, -0.0633147, 0.4262)","(-0.907773, -0.0264323, 0.418628)","(-0.883765, 0.0686107, 0.462873)","(-0.924103, 0.287446, 0.25181)","(-0.905167, 0.411398, 0.106886)","(-0.847647, 0.0595753, 0.527206)","(-0.84595, 0.144155, 0.513408)","(-0.861605, 0.182948, 0.473462)","(-0.871859, 0.212919, 0.441053)","(-0.763422, 0.105627, 0.637205)","(-0.441556, -0.0451645, 0.896096)","(-0.852783, 0.495054, 0.166383)","(-0.483879, 0.564859, -0.668427)",pinch
"(0, 0, 0)","(-0.965985, -0.152063, -0.209165)","(-0.927028, -0.258209, -0.271931)","(-0.924199, -0.264438, -0.275551)","(-0.969864, -0.0481079, 0.238849)","(-0.907049, -0.0870393, 0.411931)","(-0.926073, -0.0351543, 0.375703)","(-0.938915, 0.00848928, 0.344044)","(-0.939141, 0.0376206, 0.341466)","(-0.946522, 0.246674, 0.207962)","(-0.841406, 0.510916, -0.176072)","(-0.705186, 0.606158, -0.367812)","(-0.885529, 0.133633, 0.44495)","(-0.88018, 0.215877, 0.422706)","(-0.891423, 0.250455, 0.377675)","(-0.898147, 0.276967, 0.341498)","(-0.809196, 0.189596, 0.556108)","(-0.515021, 0.0629602, 0.854862)","(-0.848059, 0.528459, 0.0390694)","(-0.410367, 0.498578, -0.763557)",pinch
"(0, 0, 0)","(-0.966089, -0.110773, -0.233242)","(-0.936019, -0.203372, -0.287243)","(-0.936424, -0.202337, -0.286652)","(-0.978435, -0.0449893, 0.201597)","(-0.926935, -0.080931, 0.36639)","(-0.94394, -0.0287339, 0.328866)","(-0.954956, 0.0150181, 0.296367)","(-0.951425, 0.0408544, 0.305158)","(-0.946154, 0.318301, 0.0589636)","(-0.698737, 0.597227, -0.393811)","(-0.478119, 0.662759, -0.576327)","(-0.901548, 0.136922, 0.410443)","(-0.894897, 0.218508, 0.389119)","(-0.904419, 0.253275, 0.343334)","(-0.909737, 0.279933, 0.306621)","(-0.829373, 0.192892, 0.52434)","(-0.54874, 0.0683707, 0.833192)","(-0.846658, 0.532129, 0.00287663)","(-0.377671, 0.49754, -0.780909)",pinch
"(0, 0, 0)","(-0.968133, -0.0801942, -0.237249)","(-0.944115, -0.164093, -0.285868)","(-0.946101, -0.158279, -0.282561)","(-0.981333, -0.0373063, 0.188661)","(-0.935205, -0.0710434, 0.346907)","(-0.951001, -0.0186511, 0.308625)","(-0.960936, 0.0251343, 0.275626)","(-0.9551, 0.04875, 0.292245)","(-0.929894, 0.366924, -0.0257556)","(-0.579278, 0.637708, -0.507707)","(-0.308047, 0.673555, -0.671886)","(-0.905953, 0.144876, 0.39782)","(-0.898326, 0.22616, 0.376647)","(-0.907056, 0.261038, 0.330316)","(-0.91172, 0.28776, 0.29319)","(-0.834909, 0.200782, 0.512458)","(-0.559194, 0.0759939, 0.825547)","(-0.842647, 0.538371, -0.0101129)","(-0.364241, 0.497347, -0.787384)",pinch
"(0, 0, 0)","(-0.97772, -0.0575295, -0.201878)","(-0.958006, -0.131976, -0.254571)","(-0.960587, -0.12383, -0.248875)","(-0.973507, -0.0624021, 0.219978)","(-0.923508, -0.106459, 0.36851)","(-0.940863, -0.0511887, 0.334899)","(-0.952101, -0.00495628, 0.305743)","(-0.944171, 0.015424, 0.329093)","(-0.922364, 0.386277, -0.00593935)","(-0.52552, 0.692226, -0.494622)","(-0.181495, 0.719344, -0.670524)","(-0.891941, 0.103368, 0.440177)","(-0.885612, 0.185924, 0.425587)","(-0.896448, 0.224876, 0.381853)","(-0.902722, 0.254866, 0.346607)","(-0.817197, 0.150729, 0.5563)","(-0.52879, 0.00506101, 0.848738)","(-0.846027, 0.52941, 0.0629594)","(-0.395983, 0.554352, -0.732046)",pinch
"(0, 0, 0)","(-0.967568, 0.0505374, -0.247503)","(-0.950653, -0.0119994, -0.310025)","(-0.953335, -0.00372729, -0.301892)","(-0.986152, -0.0368799, 0.161694)","(-0.948616, -0.107047, 0.297774)","(-0.961064, -0.0428535, 0.272983)","(-0.967837, 0.0106863, 0.251352)","(-0.958529, 0.0178449, 0.284437)","(-0.886465, 0.462793, 0.00144488)","(-0.402417, 0.817285, -0.412439)","(0.00143001, 0.826561, -0.562845)","(-0.907618, 0.080635, 0.41198)","(-0.895293, 0.160641, 0.415506)","(-0.901956, 0.210205, 0.377213)","(-0.904681, 0.24857, 0.34607)","(-0.836844, 0.101207, 0.538005)","(-0.575165, -0.108309, 0.810836)","(-0.813973, 0.569192, 0.116059)","(-0.315312, 0.700456, -0.640266)",pinch
"(0, 0, 0)","(-0.971334, 0.150743, -0.183812)","(-0.962228, 0.106353, -0.250612)","(-0.966556, 0.123887, -0.224547)","(-0.986782, -0.0578759, 0.151363)","(-0.951265, -0.148945, 0.270018)","(-0.963235, -0.0790193, 0.256776)","(-0.969363, -0.0206453, 0.244764)","(-0.959038, -0.0265634, 0.282028)","(-0.875316, 0.478063, 0.072651)","(-0.358948, 0.892058, -0.274569)","(0.0762446, 0.904321, -0.419989)","(-0.907957, 0.0116252, 0.418901)","(-0.894224, 0.0815477, 0.440129)","(-0.901392, 0.143039, 0.408696)","(-0.903982, 0.191099, 0.382488)","(-0.837329, 0.00841924, 0.546634)","(-0.582672, -0.236415, 0.777561)","(-0.803525, 0.559067, 0.204429)","(-0.291872, 0.805223, -0.516165)",pinch
"(0, 0, 0)","(-0.971089, 0.209523, -0.114398)","(-0.968674, 0.177352, -0.173832)","(-0.970913, 0.201868, -0.128752)","(-0.986339, -0.0585239, 0.153983)","(-0.951875, -0.156187, 0.263703)","(-0.963182, -0.0837153, 0.255486)","(-0.96858, -0.0232573, 0.247614)","(-0.957389, -0.0372307, 0.286392)","(-0.865302, 0.489422, 0.108252)","(-0.328112, 0.919768, -0.215336)","(0.125309, 0.923373, -0.362876)","(-0.904988, -0.00978253, 0.425325)","(-0.890108, 0.0470235, 0.453317)","(-0.898074, 0.118389, 0.423612)","(-0.900537, 0.17452, 0.398216)","(-0.833557, -0.0231454, 0.551949)","(-0.592392, -0.262571, 0.761662)","(-0.784495, 0.577657, 0.225566)","(-0.254517, 0.840047, -0.479105)",pinch
"(0, 0, 0)","(-0.960957, 0.259492, -0.0960486)","(-0.960629, 0.234161, -0.149535)","(-0.960835, 0.261529, -0.0916484)","(-0.991329, -0.038696, 0.125573)","(-0.962912, -0.139979, 0.230667)","(-0.97211, -0.065692, 0.225136)","(-0.975585, -0.00383937, 0.219591)","(-0.965455, -0.023794, 0.259483)","(-0.852714, 0.511971, 0.103753)","(-0.286324, 0.939349, -0.18879)","(0.180506, 0.928628, -0.324141)","(-0.916165, -0.00364465, 0.400785)","(-0.900601, 0.0414837, 0.432663)","(-0.906926, 0.121819, 0.403292)","(-0.907192, 0.185181, 0.37777)","(-0.848565, -0.0242421, 0.528536)","(-0.629569, -0.256087, 0.733527)","(-0.763371, 0.611448, 0.208317)","(-0.192463, 0.861436, -0.469985)",pinch
"(0, 0, 0)","(-0.944308, 0.316037, -0.0916671)","(-0.944714, 0.29581, -0.141468)","(-0.943541, 0.322764, -0.074527)","(-0.995845, -0.00122083, 0.0910529)","(-0.97572, -0.106971, 0.191121)","(-0.981516, -0.0311806, 0.188823)","(-0.982019, 0.0317369, 0.186093)","(-0.974037, 0.00624683, 0.226302)","(-0.831894, 0.546044, 0.098931)","(-0.232453, 0.9602, -0.154863)","(0.243291, 0.930093, -0.275203)","(-0.928886, 0.0175817, 0.369949)","(-0.912741, 0.0552068, 0.40479)","(-0.914957, 0.143202, 0.377289)","(-0.911141, 0.212589, 0.353028)","(-0.866693, -0.0119105, 0.4987)","(-0.671809, -0.245282, 0.698934)","(-0.733765, 0.649886, 0.198084)","(-0.120797, 0.886176, -0.447326)",pinch
"(0, 0, 0)","(-0.97349, 0.227324, -0.0253195)","(-0.974008, 0.215403, -0.0700756)","(-0.97194, 0.235169, 0.00521571)","(-0.987776, -0.119392, 0.100223)","(-0.954698, -0.232192, 0.186116)","(-0.968563, -0.156924, 0.193027)","(-0.975717, -0.0939037, 0.197887)","(-0.963799, -0.125651, 0.235166)","(-0.881696, 0.439634, 0.17127)","(-0.331521, 0.942692, -0.0377678)","(0.145787, 0.975282, -0.166047)","(-0.916835, -0.126565, 0.378676)","(-0.903439, -0.0976959, 0.417437)","(-0.916688, -0.00129043, 0.3996)","(-0.920831, 0.0758819, 0.382507)","(-0.848945, -0.164183, 0.50233)","(-0.633076, -0.383167, 0.672605)","(-0.787248, 0.553201, 0.272412)","(-0.211178, 0.914046, -0.346301)",pinch
"(0, 0, 0)","(-0.982217, 0.187502, -0.00963771)","(-0.982671, 0.178205, -0.0509889)","(-0.980274, 0.195657, 0.0279531)","(-0.981582, -0.166788, 0.0931633)","(-0.943992, -0.280056, 0.174492)","(-0.961249, -0.205111, 0.184198)","(-0.971165, -0.14215, 0.191394)","(-0.957483, -0.176953, 0.227846)","(-0.900857, 0.39259, 0.185281)","(-0.37362, 0.927574, -0.00370506)","(0.102865, 0.986197, -0.12975)","(-0.910665, -0.18108, 0.371348)","(-0.898287, -0.156802, 0.41048)","(-0.916913, -0.0546168, 0.395332)","(-0.924551, 0.0277114, 0.380049)","(-0.84129, -0.220185, 0.49371)","(-0.629436, -0.414939, 0.65699)","(-0.803079, 0.528493, 0.275244)","(-0.232421, 0.916173, -0.32651)",pinch
