thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.839814, 0.404098, 0.362515)","(0.498284, 0.332268, 0.800819)","(-0.00974857, 0.152062, 0.988323)","(0.954049, 0.0309874, 0.298045)","(0.152457, 0.941913, 0.29926)","(-0.931224, 0.356812, -0.0742157)","(-0.934955, -0.252038, -0.249673)","(0.906805, -0.00572733, 0.42151)","(0.127518, 0.975483, 0.179364)","(-0.870868, 0.321415, -0.371862)","(-0.86917, -0.228994, -0.438298)","(0.834771, -0.0428372, 0.548929)","(0.114661, 0.98641, 0.117675)","(-0.802506, 0.231465, -0.549916)","(-0.748974, -0.388939, -0.536437)","(0.753951, -0.114993, 0.646788)","(0.261003, 0.964039, 0.0500535)","(-0.68041, 0.271114, -0.680837)","(-0.719344, -0.365095, -0.590974)",fist
"(0, 0, 0)","(0.817771, 0.41506, 0.398718)","(0.458949, 0.339284, 0.821128)","(-0.0557529, 0.152212, 0.986774)","(0.957836, 0.0463097, 0.28356)","(0.15207, 0.949526, 0.274362)","(-0.933379, 0.352381, -0.068052)","(-0.937803, -0.26081, -0.229137)","(0.912654, 0.0122515, 0.408549)","(0.121507, 0.980638, 0.153573)","(-0.878779, 0.304853, -0.367167)","(-0.873211, -0.246993, -0.420116)","(0.842744, -0.0223122, 0.537853)","(0.106685, 0.990107, 0.0911421)","(-0.812354, 0.210075, -0.544012)","(-0.752864, -0.408766, -0.515854)","(0.76394, -0.0927114, 0.638592)","(0.253158, 0.96716, 0.0226431)","(-0.691768, 0.249483, -0.677654)","(-0.724611, -0.38362, -0.572517)",fist
"(0, 0, 0)","(0.806693, 0.416681, 0.419074)","(0.438878, 0.337954, 0.83257)","(-0.0793483, 0.148017, 0.985797)","(0.95892, 0.0507729, 0.279095)","(0.153372, 0.951377, 0.267132)","(-0.933235, 0.353242, -0.0655141)","(-0.939261, -0.261242, -0.222578)","(0.914361, 0.0175106, 0.404521)","(0.119671, 0.98203, 0.145931)","(-0.881115, 0.29997, -0.365588)","(-0.874371, -0.252229, -0.414554)","(0.845093, -0.016288, 0.534372)","(0.10376, 0.991137, 0.0829592)","(-0.815371, 0.203244, -0.54209)","(-0.753905, -0.414765, -0.509507)","(0.7669, -0.0861516, 0.635957)","(0.250713, 0.967953, 0.0144981)","(-0.694908, 0.243558, -0.676596)","(-0.726282, -0.388036, -0.5674)",fist
"(0, 0, 0)","(0.780617, 0.400764, 0.479609)","(0.362359, 0.312842, 0.877967)","(-0.13136, 0.138131, 0.981664)","(0.954192, 0.0450479, 0.295785)","(0.157349, 0.950507, 0.267913)","(-0.928328, 0.362667, -0.0817295)","(-0.937965, -0.252243, -0.237898)","(0.907215, 0.0123897, 0.420486)","(0.123509, 0.981596, 0.145653)","(-0.872584, 0.304742, -0.381745)","(-0.867662, -0.251023, -0.429127)","(0.835451, -0.0206297, 0.549177)","(0.108149, 0.990754, 0.081914)","(-0.804513, 0.206526, -0.556872)","(-0.747496, -0.411339, -0.521584)","(0.75502, -0.0897214, 0.649534)","(0.256836, 0.966312, 0.0166166)","(-0.680865, 0.247305, -0.689393)","(-0.71898, -0.382968, -0.580003)",fist
"(0, 0, 0)","(0.7627, 0.390004, 0.515933)","(0.313093, 0.297408, 0.901954)","(-0.163474, 0.132897, 0.977555)","(0.951144, 0.0416254, 0.305929)","(0.160213, 0.949859, 0.268515)","(-0.924906, 0.369055, -0.0913686)","(-0.937204, -0.246111, -0.247138)","(0.902702, 0.00934152, 0.430165)","(0.12576, 0.981336, 0.145482)","(-0.867258, 0.307502, -0.391544)","(-0.863125, -0.251536, -0.437887)","(0.829431, -0.023197, 0.558128)","(0.110581, 0.990549, 0.0811417)","(-0.797811, 0.208205, -0.565816)","(-0.743429, -0.409421, -0.528856)","(0.747649, -0.0918149, 0.657716)","(0.26049, 0.96531, 0.0179443)","(-0.672063, 0.249724, -0.697115)","(-0.714422, -0.37948, -0.587874)",fist
"(0, 0, 0)","(0.743109, 0.394137, 0.540782)","(0.279399, 0.281026, 0.918129)","(-0.182528, 0.109452, 0.977089)","(0.948765, 0.0591836, 0.31039)","(0.138365, 0.948691, 0.284325)","(-0.932207, 0.350928, -0.0885411)","(-0.930973, -0.2619, -0.254357)","(0.900644, 0.0238049, 0.433906)","(0.101853, 0.981629, 0.161338)","(-0.872808, 0.293293, -0.39011)","(-0.855086, -0.265691, -0.445237)","(0.827693, -0.0124725, 0.561043)","(0.086194, 0.991575, 0.0966941)","(-0.80055, 0.197579, -0.565758)","(-0.731499, -0.418719, -0.538129)","(0.74719, -0.0845655, 0.659208)","(0.237473, 0.970794, 0.0341467)","(-0.674882, 0.245466, -0.695903)","(-0.703259, -0.385507, -0.597336)",fist
"(0, 0, 0)","(0.746357, 0.406148, 0.527252)","(0.283266, 0.294884, 0.912581)","(-0.171046, 0.123868, 0.977445)","(0.953941, 0.0711474, 0.291435)","(0.138304, 0.954321, 0.264846)","(-0.935461, 0.345, -0.0767326)","(-0.934316, -0.270777, -0.231805)","(0.90838, 0.0376785, 0.416445)","(0.0977803, 0.985062, 0.141745)","(-0.881947, 0.280472, -0.378821)","(-0.861124, -0.28013, -0.424255)","(0.838068, 0.00320936, 0.545557)","(0.0811863, 0.993686, 0.0774342)","(-0.812265, 0.182578, -0.553978)","(-0.738705, -0.43263, -0.516862)","(0.759919, -0.0676425, 0.646489)","(0.231146, 0.972842, 0.0122756)","(-0.689151, 0.228923, -0.687507)","(-0.711692, -0.399725, -0.57768)",fist
"(0, 0, 0)","(0.739924, 0.419336, 0.525994)","(0.276575, 0.300983, 0.912642)","(-0.171569, 0.12421, 0.977311)","(0.954063, 0.0883458, 0.286286)","(0.124845, 0.957468, 0.260133)","(-0.940896, 0.330734, -0.0730112)","(-0.93138, -0.285709, -0.225614)","(0.909691, 0.0546782, 0.41167)","(0.0817679, 0.987214, 0.136831)","(-0.888279, 0.264595, -0.375434)","(-0.8583, -0.296783, -0.418617)","(0.84061, 0.0196153, 0.541286)","(0.0651726, 0.995214, 0.0728191)","(-0.817905, 0.167157, -0.550536)","(-0.734238, -0.446564, -0.511346)","(0.76416, -0.0520804, 0.64292)","(0.214864, 0.97662, 0.00682906)","(-0.696042, 0.214877, -0.685094)","(-0.707966, -0.413, -0.572901)",fist
"(0, 0, 0)","(0.752373, 0.419583, 0.507824)","(0.289224, 0.319515, 0.902363)","(-0.159053, 0.153531, 0.975259)","(0.959077, 0.0792934, 0.271815)","(0.145895, 0.961749, 0.231849)","(-0.935317, 0.346792, -0.0701221)","(-0.939531, -0.273782, -0.205731)","(0.915752, 0.0499058, 0.398633)","(0.100441, 0.989057, 0.108062)","(-0.888198, 0.270385, -0.371479)","(-0.868549, -0.293434, -0.399399)","(0.847753, 0.0196798, 0.530027)","(0.0836169, 0.995513, 0.044304)","(-0.821862, 0.166926, -0.544681)","(-0.748718, -0.446857, -0.489633)","(0.771388, -0.0478038, 0.634568)","(0.231839, 0.972479, -0.0231519)","(-0.700742, 0.208644, -0.682223)","(-0.722546, -0.415044, -0.552871)",fist
"(0, 0, 0)","(0.769965, 0.418052, 0.482064)","(0.309133, 0.34382, 0.886693)","(-0.140408, 0.192646, 0.971171)","(0.965195, 0.064796, 0.253379)","(0.174496, 0.965392, 0.19383)","(-0.926968, 0.368975, -0.067732)","(-0.949743, -0.255877, -0.18032)","(0.923297, 0.041183, 0.381872)","(0.126518, 0.989516, 0.0696466)","(-0.887224, 0.279606, -0.366951)","(-0.882064, -0.286107, -0.374307)","(0.856794, 0.0175262, 0.515362)","(0.111427, 0.993744, 0.00759323)","(-0.825825, 0.172383, -0.536933)","(-0.769375, -0.441315, -0.461847)","(0.780551, -0.0441214, 0.623533)","(0.25542, 0.964785, -0.0628614)","(-0.706511, 0.201712, -0.678347)","(-0.741958, -0.415599, -0.526095)",fist
