thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.574771, -0.16278, 0.801961)","(0.720449, -0.30005, 0.625238)","(0.829791, -0.441199, 0.341746)","(0.677755, -0.419543, 0.603847)","(0.371203, -0.744164, 0.555362)","(0.517823, -0.550043, 0.655219)","(0.620712, -0.338987, 0.706968)","(0.587269, -0.398097, 0.704722)","(0.617108, 0.763102, 0.19197)","(-0.426561, 0.630332, -0.648635)","(-0.739796, 0.0703507, -0.669143)","(0.476296, -0.362918, 0.800895)","(0.650966, 0.739763, 0.170276)","(-0.321462, 0.573165, -0.753754)","(-0.668311, 0.0367476, -0.742973)","(0.346275, -0.358057, 0.867115)","(0.724362, 0.685429, 0.074075)","(0.0187682, 0.467197, -0.883954)","(-0.380153, 0.0876904, -0.920757)",fist
"(0, 0, 0)","(0.578893, -0.160398, 0.799472)","(0.72374, -0.298081, 0.622373)","(0.831724, -0.439968, 0.338622)","(0.681003, -0.417643, 0.601506)","(0.372794, -0.74435, 0.554047)","(0.520096, -0.550504, 0.653028)","(0.623575, -0.33954, 0.704178)","(0.591021, -0.395967, 0.702783)","(0.617717, 0.763896, 0.186786)","(-0.430169, 0.628384, -0.648142)","(-0.74323, 0.0682017, -0.665551)","(0.480522, -0.360581, 0.799424)","(0.651465, 0.740529, 0.164957)","(-0.325586, 0.570966, -0.753652)","(-0.672105, 0.03443, -0.739655)","(0.350836, -0.355601, 0.866292)","(0.72442, 0.68594, 0.068574)","(0.0140668, 0.464855, -0.885275)","(-0.384865, 0.0850803, -0.919043)",fist
"(0, 0, 0)","(0.582184, -0.158409, 0.797476)","(0.726355, -0.29646, 0.620097)","(0.83324, -0.438994, 0.336149)","(0.68358, -0.416074, 0.599667)","(0.373809, -0.744401, 0.553293)","(0.521763, -0.55059, 0.651625)","(0.625769, -0.339484, 0.702256)","(0.594006, -0.394195, 0.701261)","(0.618229, 0.764516, 0.182506)","(-0.433035, 0.626746, -0.647819)","(-0.745975, 0.0664263, -0.662652)","(0.483892, -0.358623, 0.798272)","(0.651885, 0.741123, 0.160568)","(-0.328875, 0.569102, -0.753634)","(-0.675142, 0.0325008, -0.736972)","(0.354479, -0.353529, 0.865657)","(0.724486, 0.686306, 0.0640565)","(0.0103115, 0.462846, -0.886379)","(-0.388641, 0.0828776, -0.917654)",fist
"(0, 0, 0)","(0.584661, -0.156916, 0.795958)","(0.728323, -0.295244, 0.618366)","(0.83438, -0.438272, 0.334257)","(0.685522, -0.414897, 0.598264)","(0.375234, -0.743749, 0.553206)","(0.52371, -0.549518, 0.650967)","(0.627996, -0.33796, 0.701002)","(0.596257, -0.392864, 0.700097)","(0.6186, 0.764981, 0.179272)","(-0.435208, 0.625506, -0.647562)","(-0.748043, 0.0650812, -0.660452)","(0.486435, -0.35715, 0.797386)","(0.652184, 0.741572, 0.157247)","(-0.331368, 0.567689, -0.753608)","(-0.67743, 0.0310415, -0.734932)","(0.357229, -0.35197, 0.865162)","(0.724523, 0.686577, 0.0606478)","(0.00747002, 0.461334, -0.887195)","(-0.39149, 0.0812227, -0.916591)",fist
"(0, 0, 0)","(0.58708, -0.155386, 0.794476)","(0.730241, -0.294003, 0.616693)","(0.83549, -0.43754, 0.332438)","(0.687418, -0.413693, 0.596921)","(0.37673, -0.742984, 0.553218)","(0.525674, -0.548358, 0.650362)","(0.630201, -0.336397, 0.699774)","(0.598455, -0.391501, 0.698984)","(0.618953, 0.765446, 0.176038)","(-0.437333, 0.624235, -0.647357)","(-0.750059, 0.0637095, -0.658295)","(0.488919, -0.35564, 0.796542)","(0.652467, 0.742019, 0.15393)","(-0.333807, 0.566238, -0.753623)","(-0.679663, 0.0295502, -0.732929)","(0.359917, -0.350369, 0.864697)","(0.72455, 0.68684, 0.0572527)","(0.00468951, 0.459773, -0.888024)","(-0.394273, 0.0795236, -0.915546)",fist
"(0, 0, 0)","(0.588991, -0.154178, 0.793296)","(0.731758, -0.293023, 0.61536)","(0.836368, -0.43697, 0.330977)","(0.688918, -0.412743, 0.595848)","(0.377644, -0.742599, 0.553111)","(0.527132, -0.547502, 0.649903)","(0.631959, -0.334981, 0.698867)","(0.600196, -0.390425, 0.698092)","(0.619222, 0.765814, 0.173473)","(-0.439023, 0.623224, -0.647187)","(-0.751656, 0.06262, -0.656576)","(0.490888, -0.354447, 0.795862)","(0.652679, 0.742374, 0.151295)","(-0.335748, 0.565082, -0.753629)","(-0.681431, 0.0283657, -0.731333)","(0.362049, -0.349104, 0.864319)","(0.724563, 0.687045, 0.0545627)","(0.00248154, 0.458539, -0.888671)","(-0.396477, 0.078182, -0.914709)",fist
"(0, 0, 0)","(0.590329, -0.153296, 0.792472)","(0.73284, -0.292279, 0.614425)","(0.837029, -0.436497, 0.329928)","(0.690008, -0.412021, 0.595086)","(0.37858, -0.742079, 0.553169)","(0.528363, -0.546605, 0.649658)","(0.633307, -0.333702, 0.698259)","(0.60145, -0.389629, 0.697457)","(0.619309, 0.76614, 0.171714)","(-0.44028, 0.622481, -0.647048)","(-0.752772, 0.0617843, -0.655375)","(0.492295, -0.353587, 0.795375)","(0.652726, 0.7427, 0.149481)","(-0.337173, 0.564251, -0.753615)","(-0.682661, 0.0274738, -0.730218)","(0.363569, -0.348212, 0.864041)","(0.724485, 0.687272, 0.0527201)","(0.000893523, 0.457712, -0.8891)","(-0.398015, 0.0772344, -0.914122)",fist
"(0, 0, 0)","(0.591402, -0.152587, 0.791808)","(0.733708, -0.291682, 0.613672)","(0.837561, -0.436124, 0.32907)","(0.690883, -0.411442, 0.594471)","(0.378781, -0.741939, 0.553219)","(0.528892, -0.546168, 0.649595)","(0.634031, -0.332885, 0.697992)","(0.602458, -0.388991, 0.696943)","(0.619373, 0.766404, 0.170296)","(-0.441296, 0.621878, -0.646935)","(-0.75367, 0.0611056, -0.654406)","(0.493427, -0.352897, 0.79498)","(0.652758, 0.742966, 0.148015)","(-0.338327, 0.563575, -0.753604)","(-0.683651, 0.0267486, -0.729319)","(0.364792, -0.347495, 0.863814)","(0.72442, 0.687452, 0.0512383)","(-0.000384511, 0.457048, -0.889442)","(-0.399251, 0.0764753, -0.913647)",fist
"(0, 0, 0)","(0.591464, -0.152525, 0.791774)","(0.733782, -0.291603, 0.613622)","(0.83765, -0.436055, 0.328935)","(0.690981, -0.411363, 0.594412)","(0.378734, -0.741761, 0.55349)","(0.52909, -0.545453, 0.650034)","(0.63429, -0.331584, 0.698375)","(0.602561, -0.388925, 0.696892)","(0.619269, 0.766499, 0.170253)","(-0.441456, 0.621801, -0.6469)","(-0.753736, 0.0609769, -0.654343)","(0.493532, -0.352849, 0.794937)","(0.652758, 0.742936, 0.148166)","(-0.338055, 0.563939, -0.753453)","(-0.683483, 0.0272344, -0.729459)","(0.3649, -0.347465, 0.86378)","(0.72433, 0.687549, 0.0512027)","(-0.000509012, 0.457069, -0.889431)","(-0.399327, 0.0764406, -0.913616)",fist
"(0, 0, 0)","(0.591524, -0.152464, 0.791741)","(0.733855, -0.291525, 0.613572)","(0.837737, -0.435987, 0.328804)","(0.691078, -0.411284, 0.594354)","(0.378526, -0.741651, 0.553779)","(0.529059, -0.544957, 0.650476)","(0.634313, -0.330649, 0.698798)","(0.602661, -0.388861, 0.69684)","(0.619165, 0.766592, 0.17021)","(-0.441613, 0.621726, -0.646865)","(-0.7538, 0.0608517, -0.65428)","(0.493635, -0.352801, 0.794894)","(0.652755, 0.74291, 0.148309)","(-0.337799, 0.564285, -0.753308)","(-0.683323, 0.0276937, -0.72959)","(0.365007, -0.347437, 0.863746)","(0.724242, 0.687645, 0.0511685)","(-0.000632665, 0.457089, -0.889421)","(-0.399401, 0.0764099, -0.913587)",fist
